Realm,Area,Mob,Item,Slot,Type,Spell,Level,Damage,Timer,Fumble,Accuracy,Defense,Sigil,SigilLvl,Weight,Notes
Chaos,Darikor,Shop,massive greatsword of giant slaying,weapon,slash 2h,,1,,,,,,pain,1,15,
Chaos,Darikor Coast,wandering vagabond,vagabond's broken clawfist,weapon,claw,,1,small,2900,never,normal,,lightning,0,5,
Chaos,Darikor Forest,black-winged hawk,deadman's cleaver,weapon,slash 1h,,1,small,,,normal,,,,5,
Chaos,Darikor Forest,dancing fairy,steel scimitar,weapon,slash 1h,,1,,,,,,,,6,
Chaos,Darikor Forest,dancing fairy,fitted silk slippers,feet,cloth,,1,,,,,,,,4,
Chaos,Darikor Forest,flying squirrel,turtle hide helm,head,leather,,1,,,,,normal,,,6,
Chaos,Darikor Forest,large porcupine,turtle hide helm,head,leather,,1,,,,,normal,,,6,
Chaos,Darikor Forest,large porcupine,apothecary spellstaff,weapon,direct crush 2h,apo.spellstaff,1,,,,,,,,11,
Chaos,Darikor Forest,large porcupine,flanged mace,weapon,crush 1h,,1,small,,,worse,,,,4,
Chaos,Darikor Forest,large porcupine,pair of cloth gloves,hands,cloth,,1,,,,,,,,4,
Chaos,Darikor Forest,leaping toad,deadman's cleaver,weapon,slash 1h,,1,small,,,normal,,,,5,
Chaos,Darikor Forest,leaping toad,destroyer,weapon,crush 2h,,1,good,,sometimes,,,,,11,
Chaos,Darikor Forest,rabid armadillo,fine two-handed axe,weapon,slash 2h,,1,good,,,normal,,,,12,
Chaos,Darikor Forest,rabid armadillo,destroyer,weapon,crush 2h,,1,,,,,,,,11,
Chaos,Darikor Forest,red-eyed crow,pair of rustbound gauntlets,hands,plate,,1,,,,,,,,14,
Chaos,Darikor Forest,red-eyed crow,flanged mace,weapon,crush 1h,,1,small,,,worse,,,,4,
Chaos,Darikor Forest,silver fox,fur-lined boots,feet,leather,,1,,,,,,,,6,
Chaos,Darikor Forest,spitting mouse,flanged mace,weapon,crush 1h,,1,small,,,worse,,,,4,
Chaos,Darikor Forest,spitting mouse,spidersilk skirt,legs,cloth,,1,,,,,normal,,,6,
Chaos,Darikor Forest,woodland bunny,flanged mace,weapon,crush 1h,,1,small,,,worse,,,,4,
Chaos,Enchanted Woods of Acornak,forest lizard,vibrant green leather boots,feet,leather,,1,,,,,normal,,,6,
Chaos,Enchanted Woods of Acornak,hyena,forest green studded cloak,cloak,studded,,1,,,,,normal,,,7,
Chaos,Fields of Mo'Serat,baby rhinoceros,black leather gloves,hands,leather,,1,,,,,,,,6,
Chaos,Fields of Mo'Serat,Mo'Serat gatherer,military chestpiece,body,plate,,1,,,,,,,,23,
Chaos,Fields of Mo'Serat,Mo'Serat Hunter,pair of plate greaves,legs,plate,,1,,,,,much worse,,,19,
Chaos,Fields of Mo'Serat,Mo'Serat Soothsayer,military chestpiece,body,plate,,1,,,,,,,,23,
Chaos,Fields of Mo'Serat,saurian scavenger,small silver earring,jewel,,blur.i,1,,,,,,,,1,
Chaos,Fields of Mo'serat,screeching baboon,ironbark crusher,weapon,crush 2h,,1,good,,,normal,,,,12,
Chaos,Fields of Mo'Serat,small death adder,raccoon skin cap,head,cloth,,1,,,,,,,,4,
Chaos,Fields of Mo'Serat,wild dog,black leather gloves,hands,leather,,1,,,,,,,,6,
